Month,Number of establishmentsat end of month,Daily capacity (stay-units available),Monthly capacity (stay-unit nights available)  ,"Occupancy rate 
(%) ",Guest Nights,Guest Arrivals,Stay-unit nights (occupancy),"Average length
of stay (days)",Guests per stay-unit night,Stay-units per establishment,Guest night % of January guest nights
Jan-01,2903,121358,3762098,47.70973537,3740220,1767423,1794887,2.116199687,2.083819204,41.80434034,100
Feb-01,2898,120993,3387804,44.78201809,2645275,1462429,1517127,1.808822856,1.743608149,41.7505176,70.72511777
Mar-01,2908,120925,3748675,40.79294684,2616630,1476387,1529195,1.772319859,1.711115979,41.58356259,69.95925373
Apr-01,2916,120585,3617550,34.62423463,2244024,1236243,1252549,1.815196527,1.791565839,41.35288066,59.99711247
May-01,2879,115778,3589118,27.1486198,1519711,836589,974396,1.816556278,1.559644128,40.21465787,40.63159386
Jun-01,2855,115084,3452520,25.28350306,1432712,781424,872918,1.833463011,1.641290476,40.30963222,38.30555422
Jul-01,2864,115407,3577617,28.86549902,1802223,936114,1032697,1.925217441,1.745161456,40.29574022,48.18494634
Aug-01,2876,115819,3590389,29.22616463,1757486,906221,1049333,1.939356956,1.674860125,40.27086231,46.98884023
Sep-01,2905,117348,3520440,30.47724148,1863683,974156,1072933,1.913125824,1.736998489,40.39518072,49.82816519
Oct-01,2916,118760,3681560,32.81959278,2076713,1123949,1208273,1.847693267,1.718744853,40.72702332,55.52381945
Nov-01,2933,122039,3661170,36.24202099,2229590,1253146,1326882,1.779194124,1.680322742,41.60893283,59.61119934
Dec-01,2947,123286,3821866,37.78693445,2831237,1444626,1444166,1.959840817,1.960465071,41.83440787,75.6970713
Jan-02,2952,123461,3827291,48.10862304,3840258,1793954,1841257,2.140666929,2.085671908,41.82283198,100
Feb-02,2956,123821,3466988,46.61331392,2829400,1544421,1616078,1.832013421,1.750781831,41.88802436,73.67734147
Mar-02,2949,123556,3830236,45.05899898,3070082,1644953,1725866,1.866364571,1.77886464,41.8975924,79.9446808
Apr-02,2934,120026,3600780,36.47231989,2269600,1259630,1313288,1.801798941,1.72818148,40.90865712,59.10019587
May-02,2905,118136,3662216,28.68287944,1681505,940483,1050429,1.787916422,1.600779301,40.66643718,43.78625082
Jun-02,2876,117000,3510000,26.74393162,1538521,822472,938712,1.870605929,1.638970206,40.68150209,40.06295931
Jul-02,2867,117004,3627124,30.56791,1926479,975998,1108736,1.973855479,1.737545277,40.81060342,50.16535347
Aug-02,2862,117257,3634967,29.82657064,1828564,911325,1084186,2.006489452,1.686577764,40.97030049,47.61565499
Sep-02,2895,118475,3554250,31.66592108,1930539,1011974,1125486,1.907696245,1.71529366,40.92400691,50.27107554
Oct-02,2926,119579,3706949,35.00031967,2205203,1177507,1297444,1.872772731,1.699651777,40.86773753,57.42330333
Nov-02,2937,122616,3678480,39.88669233,2458811,1363628,1467224,1.803139126,1.675825232,41.74872319,64.02723463
Dec-02,2952,124166,3849146,40.26030709,2925272,1501752,1549678,1.947906179,1.887664405,42.06165312,76.1738404
Jan-03,2966,124436,3857516,48.84643382,3884101,1828808,1884259,2.123842962,2.061341355,41.954147,100
Feb-03,2968,124628,3489584,48.78458292,3013612,1632061,1702379,1.846506963,1.770235653,41.99056604,77.58840463
Mar-03,2967,124324,3854044,43.95598493,2898116,1589468,1694083,1.823324534,1.710728459,41.90225817,74.61484652
Apr-03,2923,120012,3600360,39.5624882,2550460,1370814,1424392,1.860544173,1.790560464,41.05781731,65.66410091
May-03,2862,117659,3647429,29.4338286,1721910,946547,1073578,1.81914897,1.603898366,41.11076171,44.33226633
Jun-03,2839,116487,3494610,26.59103591,1474648,788415,929253,1.870395667,1.586917664,41.03099683,37.96626298
Jul-03,2854,117251,3634781,31.33985239,1976968,1026630,1139135,1.925686956,1.735499304,41.08304135,50.89898538
Aug-03,2866,117575,3644825,29.8924091,1831178,936479,1089526,1.955386079,1.680710694,41.02407537,47.14547845
Sep-03,2893,118988,3569640,32.7527986,2025337,1072770,1169157,1.887950819,1.732305413,41.12962323,52.14429285
Oct-03,2934,119949,3718419,35.16806471,2224164,1214342,1307696,1.831579571,1.700826492,40.88241309,57.2632895
Nov-03,2935,123677,3710310,40.01649458,2476688,1400634,1484736,1.768262087,1.668099918,42.13867121,63.76476822
Dec-03,2957,125050,3876550,42.14136281,3085276,1633434,1633631,1.888828076,1.888600302,42.28948258,79.43346478
Jan-04,2945,126265,3914215,50.44372882,4098508,1887848,1974476,2.170994699,2.075744653,42.87436333,100
Feb-04,2947,125467,3638543,48.85977711,3108697,1723518,1777784,1.803692796,1.748635942,42.57448252,75.84947986
Mar-04,2951,125873,3902063,45.29242608,3002042,1686967,1767339,1.779549926,1.698622619,42.65435446,73.24719142
Apr-04,2949,125836,3775080,39.51150704,2657045,1463907,1491591,1.815036748,1.781349579,42.67073584,64.82956725
May-04,2928,122078,3784418,30.07899762,1791577,980631,1138315,1.826963455,1.573885085,41.69330601,43.71290723
Jun-04,2903,121231,3636930,29.03924464,1693013,913975,1056137,1.852362483,1.603024039,41.76059249,41.30803209
Jul-04,2889,121115,3754565,32.53008005,2091169,1097739,1221363,1.904978324,1.712160103,41.92281066,51.02268923
Aug-04,2917,121847,3777257,30.81275645,1914040,984317,1163877,1.944536161,1.64453804,41.77134042,46.70089701
Sep-04,2956,126055,3781650,32.91195642,2164638,1159929,1244615,1.866181465,1.739202886,42.64377537,52.81526839
Oct-04,3015,128048,3969488,34.24953042,2286267,1267564,1359531,1.803669874,1.681658601,42.47031509,55.78290929
Nov-04,3059,129199,3875970,41.03517313,2612613,1514034,1590511,1.725597312,1.642624917,42.23569794,63.74546542
Dec-04,3083,130796,4054676,40.84388,3126482,1680321,1656087,1.860645674,1.88787304,42.4249108,76.28341826
Jan-05,3081,131027,4061837,50.91159493,4280001,1995371,2067946,2.144965022,2.069687023,42.52742616,100
Feb-05,3096,131238,3674664,49.73548602,3150628,1787659,1827612,1.762432321,1.723904198,42.38953488,73.61278654
Mar-05,3108,131548,4077988,46.41894483,3333049,1847150,1892959,1.804427902,1.760761327,42.32561133,77.87495844
Apr-05,3100,131195,3935850,38.12866344,2610879,1468110,1500687,1.778394671,1.739789177,42.32096774,61.00183154
May-05,3081,127967,3966977,29.01864568,1791539,1001135,1151163,1.789507909,1.556286121,41.53424213,41.85837807
Jun-05,3058,127562,3826860,29.557052,1810133,975919,1131107,1.8547984,1.600319864,41.71419228,42.29281722
Jul-05,3052,127639,3956809,31.63587123,2146289,1107221,1251771,1.938446796,1.714601952,41.82142857,50.14692754
Aug-05,3059,127610,3955910,29.69369879,1920391,998153,1174656,1.923944526,1.634853949,41.71624714,44.86893811
Sep-05,3104,129081,3872430,32.12169103,2108206,1120608,1243890,1.881305506,1.694849223,41.58537371,49.25713802
Oct-05,3147,133886,4150466,33.27305898,2333921,1305294,1380987,1.788042387,1.690038357,42.54401017,54.53085175
Nov-05,3168,134604,4038120,39.09126029,2579173,1479000,1578552,1.743862745,1.633885358,42.48863636,60.26103732
Dec-05,3194,135795,4209645,38.76189085,3023292,1621670,1631738,1.864307781,1.852804801,42.51565435,70.63764705
Jan-06,3195,136132,4220092,48.75303666,4200158,1984175,2057423,2.116828405,2.041465464,42.60782473,100
Feb-06,3199,136377,3818556,48.71464501,3225892,1810609,1860196,1.781661308,1.734167797,42.63113473,76.80406309
Mar-06,3198,136037,4217147,44.09125411,3109626,1769974,1859393,1.756876655,1.672387709,42.53814884,74.03592912
Apr-06,3189,135847,4075410,37.72521047,2710206,1502005,1537457,1.804392129,1.76278491,42.59862026,64.52628687
May-06,3157,130891,4057621,29.15208197,1820042,1004411,1182881,1.812049052,1.538651817,41.46056383,43.3327032
Jun-06,3124,129038,3871140,27.63157623,1687038,901115,1069657,1.872167259,1.577176609,41.30537772,40.16606042
Jul-06,3105,128518,3984058,30.67154143,2059914,1064174,1221972,1.935692847,1.685729297,41.39066023,49.04372645
Aug-06,3123,128803,3992893,30.67948477,1981418,1016091,1224999,1.950039908,1.617485402,41.24335575,47.17484437
Sep-06,3157,129952,3898560,32.92749118,2173608,1159368,1283698,1.874821454,1.693239376,41.16312955,51.75062462
Oct-06,3200,134507,4169717,34.7671077,2442298,1345694,1449690,1.814898484,1.684703626,42.0334375,58.14776492
Nov-06,3209,134553,4036590,40.99053904,2696769,1530056,1654620,1.762529607,1.629841897,41.9298847,64.20637033
Dec-06,3233,135638,4204778,40.36315354,3161143,1672996,1697181,1.889510196,1.862584486,41.95422208,75.26247822
Jan-07,3232,135823,4210513,51.14792426,4299046,2004209,2153590,2.145008829,1.996223051,42.02444307,100
Feb-07,3239,135934,3806152,51.56472994,3421441,1882705,1962632,1.817300639,1.743292171,41.96789132,79.58605235
Mar-07,3241,136331,4226261,46.88841981,3341487,1846025,1981627,1.810098455,1.686234089,42.06448627,77.72624438
Apr-07,3235,136201,4086030,38.5355712,2779018,1522054,1574575,1.825834037,1.764932125,42.10231839,64.64266723
May-07,3207,130895,4057745,30.78889876,1924430,1049114,1249335,1.834338308,1.540363473,40.8154038,44.76411743
Jun-07,3168,130147,3904410,28.78283787,1793885,964011,1123800,1.860855322,1.596267129,41.08175505,41.7275135
Jul-07,3162,130368,4041408,31.72446336,2187006,1094927,1282115,1.997398913,1.705779903,41.22960152,50.87189111
Aug-07,3185,131320,4070920,31.43741464,2111197,1074365,1279792,1.965064945,1.649640723,41.23076923,49.10849989
Sep-07,3214,132355,3970650,33.36277436,2265177,1199239,1324719,1.888845343,1.709930181,41.18077162,52.69022476
Oct-07,3259,136861,4242691,33.6870868,2410869,1310381,1429239,1.839822922,1.686820049,41.99478368,56.07916268
Nov-07,3286,137775,4133250,40.52355894,2751525,1524796,1674940,1.80452008,1.642760338,41.92787584,64.00315326
Dec-07,3302,138706,4299886,40.137599,3187449,1667456,1725871,1.911564083,1.846863989,42.00666263,74.14317037
Jan-08,3294,139015,4309465,50.80173525,4398880,2103310,2189283,2.091408304,2.009278837,42.20248937,100
Feb-08,3303,138821,4025809,50.78273708,3539384,1959064,2044416,1.806670941,1.731244522,42.02876173,80.46102644
Mar-08,3309,139072,4311232,47.62810259,3572365,1935195,2053358,1.845997432,1.73976725,42.02840737,81.21078547
Apr-08,3308,139310,4179300,38.26463762,2682485,1489630,1599194,1.800772675,1.677398114,42.11305925,60.98109064
May-08,3246,134196,4160076,30.848547,2016041,1098441,1283323,1.835365759,1.570953688,41.34195933,45.83077965
Jun-08,3226,133554,4006620,27.53193465,1700129,899556,1103100,1.889964605,1.541228356,41.39925604,38.64913342
Jul-08,3216,132935,4120985,31.31491622,2140034,1063126,1290483,2.012963656,1.658320179,41.33550995,48.64951988
Aug-08,3228,133764,4146684,30.5103789,2028723,1039632,1265169,1.951385683,1.603519372,41.43866171,46.11908031
Sep-08,3258,135332,4059960,32.08144908,2146081,1103852,1302494,1.944174581,1.647670546,41.5383671,48.78698669
Oct-08,3306,139529,4325399,34.44729608,2513443,1336610,1489983,1.880461017,1.686893743,42.20477919,57.13824883
Nov-08,3345,141455,4243650,38.20996076,2638147,1451079,1621497,1.818058838,1.62698235,42.28849028,59.97315226
Dec-08,3352,142449,4415919,38.37540951,3104681,1603601,1694627,1.936068261,1.832073371,42.49671838,70.57889736
Jan-09,3356,142594,4420414,48.28735499,4251159,1958694,2134501,2.170404872,1.991640669,42.48927294,100
Feb-09,3354,142960,4002880,48.2029189,3276681,1774691,1929505,1.846338884,1.698197724,42.62373286,77.07735702
Mar-09,3355,143268,4441308,43.62174386,3199658,1737814,1937376,1.841197044,1.651542086,42.70283159,75.26554523
Apr-09,3347,142413,4272390,37.78386336,2799424,1496986,1614274,1.870040201,1.734169044,42.54944727,65.85084209
May-09,3283,137274,4255494,30.04368001,2003442,1083218,1278507,1.849527981,1.567016841,41.81358514,47.12695997
Jun-09,3249,136440,4093200,25.3919183,1618029,857721,1039342,1.886428104,1.556782079,41.99445983,38.06089116
Jul-09,3248,136563,4233453,30.44965894,2211111,1104141,1289072,2.002562173,1.715273468,42.04525862,52.01195721
Aug-09,3248,136236,4223316,29.13902251,2026212,1020793,1230633,1.98493916,1.646479495,41.94458128,47.66257861
Sep-09,3275,138304,4149120,31.61279982,2210753,1159564,1311653,1.906538147,1.685470929,42.23022901,52.00353598
Oct-09,3338,142896,4429776,33.38593193,2524809,1355367,1478922,1.862823132,1.707195511,42.80886759,59.39107429
Nov-09,3345,143809,4314270,37.7671773,2650414,1473529,1629378,1.798684654,1.626641577,42.9922272,62.34568032
Dec-09,3348,144629,4483499,39.64298866,3241970,1675668,1777393,1.934732895,1.824002908,43.19862605,76.26085028
Jan-10,3360,145590,4513290,49.46896831,4438860,2044175,2232678,2.171467707,1.988132637,43.33035714,100
Feb-10,3347,145302,4068456,48.52260907,3326033,1825711,1974121,1.821774092,1.684817192,43.41260831,74.92989191
Mar-10,3345,145135,4499185,43.70307067,3273647,1792850,1966282,1.82594584,1.664891913,43.38863976,73.74972403
Apr-10,3325,144571,4337130,37.3003115,2821076,1500286,1617763,1.880358812,1.743812907,43.48,63.55406568
May-10,3264,140172,4345332,28.07829183,1881253,997050,1220095,1.886819116,1.54189059,42.94485294,42.38144479
Jun-10,3204,137790,4133700,26.91218521,1730887,898991,1112469,1.925366327,1.555896838,43.00561798,38.9939534
Jul-10,3201,138220,4284820,30.47280866,2215500,1111619,1305705,1.993038982,1.696784496,43.18025617,49.91146375
Aug-10,3207,138014,4278434,29.05570122,2025246,1001283,1243129,2.022650939,1.629151922,43.03523542,45.62536327
Sep-10,3231,138656,4159680,31.61293657,2183847,1138242,1314997,1.918613968,1.660723941,42.91426803,49.19837526
Oct-10,3293,143411,4445741,33.40471251,2482187,1307428,1485087,1.898526726,1.671408476,43.55025812,55.91947031
Nov-10,3310,144379,4331370,38.85288027,2702784,1494314,1682862,1.808712225,1.606063955,43.61903323,60.88914721
Dec-10,3317,144830,4489730,38.95844516,3165264,1634135,1749129,1.93696604,1.809622961,43.66294845,71.30803855
Jan-11,3324,144643,4483933,48.94497755,4334874,2019706,2194660,2.146289608,1.975191601,43.51474128,100
Feb-11,3313,144324,4041072,47.79773783,3275448,1770186,1931541,1.850341151,1.695769337,43.5629339,75.56039691
Mar-11,3259,140572,4357732,42.62951462,3095870,1661480,1857680,1.863320654,1.666524913,43.13347653,71.41776208
Apr-11,3244,139989,4199670,37.73827467,2715326,1420933,1584883,1.910945836,1.7132659,43.15320592,62.63909862
May-11,3191,135040,4186240,29.55449281,1898174,972710,1237222,1.951428483,1.534222637,42.31902225,43.78844691
Jun-11,3133,133565,4006950,27.63782927,1736350,871839,1107434,1.991594778,1.567903821,42.63166294,40.05537416
Jul-11,3139,134577,4171887,31.80213175,2259130,1102018,1326749,2.049993739,1.702756135,42.87257088,52.11524026
Aug-11,3151,134906,4182086,32.07652832,2195358,1073216,1341468,2.045588213,1.636534006,42.81370993,50.64410177
Sep-11,3194,138212,4146360,32.14226454,2189342,1134763,1332734,1.929338549,1.642744914,43.27238572,50.50532034
Oct-11,3230,139666,4329646,33.95928905,2445416,1253027,1470317,1.951606789,1.663189639,43.24024768,56.41262007
Nov-11,3242,140403,4212090,39.05764122,2662602,1453687,1645143,1.831619874,1.618462346,43.30752622,61.42282336
Dec-11,3247,141051,4372581,39.56816352,3208121,1639359,1730150,1.956936217,1.85424443,43.44040653,74.00724911
Jan-12,3254,141472,4385632,47.96380544,4151711,1968008,2103516,2.109600672,1.973700699,43.47633682,100
Feb-12,3245,141201,4094829,46.51061131,3208886,1732393,1904530,1.852285249,1.684870283,43.51340524,77.2906881
Mar-12,3234,140931,4368861,42.21786868,3071265,1662542,1844440,1.847330774,1.665147687,43.57792208,73.97588609
Apr-12,3224,140765,4222950,36.30305829,2658687,1416237,1533060,1.877289606,1.734235451,43.6616005,64.03834467
May-12,3164,135506,4200686,29.04416088,1892558,976905,1220054,1.937299942,1.551208389,42.82743363,45.58501302
Jun-12,3111,134675,4040250,27.74773838,1808557,903972,1121078,2.000678118,1.613230302,43.28993893,43.56172672
Jul-12,3091,133529,4139399,29.88685072,2108414,1032317,1237136,2.042409454,1.704270185,43.19928826,50.78421884
Aug-12,3090,133691,4144421,29.2835115,1992983,985767,1213632,2.021758691,1.642164182,43.26569579,48.00389526
Sep-12,3155,135438,4063140,31.20891724,2111027,1070300,1268062,1.972369429,1.664766392,42.92805071,50.84715675
Oct-12,3202,139256,4316936,34.46926246,2527327,1303831,1488016,1.93838542,1.698454183,43.49031855,60.87434795
Nov-12,3213,139934,4198020,38.21534914,2629492,1427448,1604288,1.842093022,1.639039873,43.5524432,63.33514062
Dec-12,3214,140638,4359778,40.18424791,3277105,1679630,1751944,1.951087442,1.870553511,43.75793404,78.93384198
Jan-13,3229,140774,4363994,48.06755005,4143444,1922197,2097665,2.155577186,1.975264878,43.59677919,100
Feb-13,3225,140448,3932544,48.13888923,3257614,1752051,1893083,1.859314598,1.720798296,43.54976744,78.62092501
Mar-13,3223,140360,4351160,45.65690529,3398570,1792576,1986605,1.895914037,1.710742699,43.54948805,82.02282932
Apr-13,3209,139988,4199640,36.97838386,2625252,1397316,1552959,1.878781893,1.69048378,43.62355874,63.35917657
May-13,3156,136082,4218542,30.66682754,2043494,1072944,1293693,1.904567247,1.579581864,43.11850444,49.31873099
Jun-13,3118,135331,4059930,28.51366895,1854775,922706,1157635,2.010147328,1.602210541,43.40314304,44.76408997
Jul-13,3100,133905,4151055,32.19251491,2277607,1116141,1336329,2.040608669,1.704375943,43.19516129,54.96893406
Aug-13,3098,133941,4152171,31.2114554,2137455,1051375,1295953,2.033009155,1.649330647,43.23466753,51.58643389
Sep-13,3151,135749,4072470,32.69976206,2214631,1104080,1331688,2.005860988,1.663025423,43.08124405,53.44903901
Oct-13,3189,139984,4339504,35.31193888,2565637,1312534,1532363,1.954720411,1.674301063,43.89589213,61.92039762
Nov-13,3205,141070,4232100,40.69573025,2804664,1490808,1722284,1.881304635,1.628456166,44.01560062,67.68919768
Dec-13,3228,142022,4402682,41.83275104,3386505,1714562,1841763,1.975142923,1.838730065,43.99690211,81.73164643
Jan-14,3218,141882,4398342,50.3404692,4397814,1996579,2214146,2.202674675,1.986234873,44.09011809,100
Feb-14,3216,141893,3973004,51.07827729,3514910,1840570,2029342,1.909685587,1.73204418,44.12095771,79.92402589
Mar-14,3212,141968,4401008,44.94529435,3304066,1703441,1978046,1.939642171,1.670368637,44.1992528,75.12973491
Apr-14,3206,141681,4250430,40.59878648,3016385,1535884,1725623,1.963940636,1.74799768,44.19245165,68.58828045
May-14,3146,136783,4240273,32.82133014,2215676,1117345,1391714,1.982982875,1.592048366,43.47838525,50.38130307
Jun-14,3103,134960,4048800,29.32226833,1874710,903500,1187200,2.074941893,1.579102089,43.49339349,42.62822393
Jul-14,3080,134535,4170585,33.30424868,2372883,1113202,1388982,2.131583486,1.708361231,43.68019481,53.9559654
Aug-14,3053,133940,4152140,32.34599508,2208922,1065539,1343051,2.073055984,1.644704483,43.8716017,50.22772678
Sep-14,3103,134961,4048830,34.76903204,2352829,1123645,1407739,2.093925573,1.671353141,43.49371576,53.49996612
Oct-14,3170,139454,4323074,37.59102898,2753305,1383333,1625088,1.990341443,1.694249788,43.99179811,62.60621754
Nov-14,3175,140381,4211430,42.95552817,2971219,1542697,1809042,1.925990003,1.642426765,44.21448819,67.56127021
Dec-14,3186,140737,4362847,45.04929923,3628236,1777414,1965432,2.041300451,1.846024691,44.17357188,82.50089704
Jan-15,3185,141038,4372178,52.64017156,4565950,2061317,2301522,2.215064447,1.983882839,44.28194662,100
Feb-15,3184,141133,3951724,53.41418075,3704638,1927519,2110781,1.921972235,1.755102969,44.32569095,81.13619291
Mar-15,3182,140918,4368458,48.59762873,3551985,1830222,2122967,1.940739976,1.67312304,44.28598366,77.79290181
Apr-15,3163,140721,4221630,42.45293879,3124021,1567953,1792206,1.992420053,1.74311491,44.48972494,68.41995642
May-15,3118,136927,4244737,34.3021252,2338377,1175589,1456035,1.98911099,1.605989554,43.91500962,51.2133729
Jun-15,3074,136082,4082460,30.36005252,1933195,929704,1239437,2.079366121,1.559736396,44.26870527,42.33938173
Jul-15,3054,135277,4193587,34.34992525,2467016,1166482,1440494,2.114919904,1.712618032,44.29502292,54.03072745
Aug-15,3053,135342,4195602,33.15240578,2300740,1085433,1390943,2.119651789,1.654086472,44.33082214,50.38907566
Sep-15,3132,136306,4089180,35.99868433,2475604,1199730,1472051,2.063467614,1.681737929,43.52043423,54.21881536
Oct-15,3169,139451,4322981,38.73137541,2833487,1438781,1674350,1.969366429,1.69229074,44.00473335,62.05689944
Nov-15,3182,140319,4209570,44.97661281,3106997,1642190,1893322,1.891983875,1.641029365,44.09773727,68.04710958
Dec-15,3175,140834,4365854,47.30847619,3851869,1931323,2065419,1.994419887,1.864933459,44.35716535,84.36073544
Jan-16,3168,140971,4370101,55.89271278,4843891,2245557,2442568,2.157099998,1.983114083,44.49842172,100
Feb-16,3165,140837,4084273,55.0165721,3965513,2097635,2247027,1.890468551,1.764782088,44.49826224,81.86627238
Mar-16,3143,140664,4360584,52.00356191,3987842,2084741,2267659,1.912871671,1.758572166,44.75469297,82.32724477
Apr-16,3136,139980,4199400,44.34207268,3239579,1669973,1862101,1.939899028,1.739743977,44.63647959,66.87968412
May-16,3103,135449,4198919,34.82462986,2329676,1176965,1462258,1.97939276,1.593204482,43.65098292,48.09513674
Jun-16,3059,135019,4050570,32.86270821,2163171,1076485,1331127,2.009476212,1.62506733,44.13828048,44.65771422
Jul-16,3038,134399,4166369,36.33405971,2636046,1259558,1513811,2.092834153,1.741330985,44.23930217,54.42001069
Aug-16,3036,134291,4163021,35.18413671,2449012,1173870,1464723,2.086271904,1.671996685,44.2328722,50.55877599
Sep-16,3060,135258,4057740,38.16824143,2633664,1317807,1548768,1.998520269,1.70048968,44.20196078,54.37083535
Oct-16,3109,138079,4280449,40.89860666,3004062,1516027,1750644,1.981535949,1.715975378,44.41267289,62.01753921
Nov-16,3105,139527,4185810,46.99642363,3265113,1736249,1967181,1.880555727,1.659792871,44.93623188,67.40682233
Dec-16,3089,138593,4296383,49.22857203,3983330,2014459,2115048,1.977369606,1.883328416,44.8666235,82.23409651
Jan-17,3101,139747,4332157,57.18536978,4899455,2280005,2477360,2.148879059,1.977691979,45.06514028,100
Feb-17,3102,140258,3927224,57.00527905,3949127,2051122,2238725,1.925349638,1.764007192,45.21534494,80.60339364
Mar-17,3096,139933,4337923,53.02968725,3866041,2046863,2300387,1.888763928,1.680604611,45.19799742,78.90757237
Apr-17,3099,140111,4203330,46.3916942,3462094,1761223,1949996,1.965732903,1.775436462,45.21168119,70.66283903
May-17,3042,135336,4195416,36.95669273,2500827,1253853,1550487,1.994513711,1.612930002,44.48915187,51.04296294
Jun-17,3043,135053,4051590,34.72779822,2309165,1138631,1407028,2.028018735,1.641164924,44.38153138,47.13105845
Jul-17,2966,133320,4132920,37.16486165,2673433,1291905,1535994,2.069372748,1.740523075,44.94942684,54.56592621
Aug-17,2954,132883,4119373,35.64993993,2440597,1201490,1468554,2.031308625,1.66190484,44.98408937,49.81364254
Sep-17,2995,133891,4016730,38.51745076,2669511,1313630,1547142,2.032163547,1.725446662,44.7048414,54.48587649
Oct-17,3040,140335,4350385,41.83501,3146797,1601968,1819984,1.964331997,1.729024541,46.16282895,64.22749061
Nov-17,3053,139716,4191480,48.58498669,3405683,1800758,2036430,1.891249685,1.672379114,45.7635113,69.51146607
Dec-17,3070,139790,4333490,50.4476992,4141700,2045989,2186146,2.024302183,1.894521226,45.53420195,84.53389203
Jan-18,3067,140169,4345239,58.67555271,4969120,2279108,2549593,2.180291588,1.948985583,45.70231497,100
Feb-18,3067,140663,3938564,57.46652841,4030944,2141136,2263356,1.88261932,1.780958895,45.86338441,81.11987636
Mar-18,3063,140872,4367032,54.74209944,4176455,2205955,2390605,1.893263915,1.747028472,45.99151159,84.04818157
Apr-18,3056,140183,4205490,45.8071711,3430091,1765164,1926416,1.943213775,1.780555706,45.87140052,69.02813778
